  Feature 1    Feature 2     label
  0.63727611   0.85363817   1.00000000
  0.69958275   1.05286368   1.00000000
  0.59587488   1.09522169   1.00000000
  0.55050308   0.80703334   1.00000000
  0.47211922   1.03184702   1.00000000
  0.62482430   0.95038912   1.00000000
  0.63203614   0.98860407   1.00000000
  0.55957160   0.99657073   1.00000000
  0.56601219   0.97101734   1.00000000
  0.61184563   0.91931407   1.00000000
  0.60078496   0.98580651   1.00000000
  0.66102446   1.00633926   1.00000000
  0.63270892   0.86718044   1.00000000
  0.61231472   1.00225346   1.00000000
  0.55892055   0.94207356   1.00000000
  0.66077688   0.90267437   1.00000000
  0.57608091   0.97171630   1.00000000
  0.54663790   0.93933162   1.00000000
  0.59504521   1.07972675   1.00000000
  0.60044117   1.14922568   1.00000000
  0.47571329   0.98596951   1.00000000
  0.57991605   0.92480735   1.00000000
  0.64835774   0.99422870   1.00000000
  0.61236539   1.06028725   1.00000000
  0.59610090   0.92997076   1.00000000
  0.58883380   1.02386318   1.00000000
  0.61018631   1.06911384   1.00000000
  0.60830238   1.05139559   1.00000000
  0.62705583   1.04039678   1.00000000
  0.56180976   1.00651309   1.00000000
  0.52887514   0.90692926   1.00000000
  0.56951489   0.83046523   1.00000000
  0.64095622   1.03979689   1.00000000
  0.62057076   1.10891453   1.00000000
  0.53664613   1.04484489   1.00000000
  0.56736724   1.04139914   1.00000000
  0.59924372   0.80016219   1.00000000
  0.59050590   1.05674045   1.00000000
  0.59761277   0.99672042   1.00000000
  0.60061563   0.90503427   1.00000000
  0.63213025   0.93605984   1.00000000
  0.61514497   1.01404725   1.00000000
  0.55101025   0.94195612   1.00000000
  0.66908742   1.04912459   1.00000000
  0.57826055   0.93432044   1.00000000
  0.54782710   1.15641650   1.00000000
  0.62851982   0.90765841   1.00000000
  0.72736573   1.08206011   1.00000000
  0.56944206   1.13722045   1.00000000
  0.68400268   1.10433082   1.00000000
  0.71944039   0.98564455   1.00000000
  0.64697334   0.87427399   1.00000000
  0.60808243   0.95021443   1.00000000
  0.69806372   1.02395216   1.00000000
  0.69872500   1.01227342   1.00000000
  0.63570950   1.15809279   1.00000000
  0.74547986   1.12445732   1.00000000
  0.60695740   1.12917454   1.00000000
  0.68546731   0.95294228   1.00000000
  0.68869045   0.99501975   1.00000000
  0.71586958   1.13881192   1.00000000
  0.72197684   1.15411371   1.00000000
  0.65020710   0.83665751   1.00000000
  0.62755082   1.07191711   1.00000000
  0.64746818   1.10382939   1.00000000
  0.60339174   0.87440154   1.00000000
  0.59498036   0.96241136   1.00000000
  0.54209297   1.05753825   1.00000000
  0.67495581   0.92574430   1.00000000
  0.58095138   0.96430794   1.00000000
  0.53281621   1.12876793   1.00000000
  0.57073729   0.96818564   1.00000000
  0.53991925   1.01055831   1.00000000
  0.56543079   1.07930426   1.00000000
  0.61762435   1.03225637   1.00000000
  0.66786284   0.94593633   1.00000000
  0.61897276   0.97352514   1.00000000
  0.60944020   1.04453224   1.00000000
  0.66384412   0.85655836   1.00000000
  0.58863726   1.03749799   1.00000000
  0.59920160   1.05541708   1.00000000
